Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,36263,1269,25198,9796
Albania,4880,144,2745,1991
Algeria,27973,1163,18837,7973
Andorra,907,52,803,52
Angola,950,41,242,667
Antigua and Barbuda,86,3,65,18
Argentina,167416,3059,72575,91782
Armenia,37390,711,26665,10014
Australia,15303,167,9311,5825
Austria,20558,713,18246,1599
Azerbaijan,30446,423,23242,6781
Bahamas,382,11,91,280
Bahrain,39482,141,36110,3231
Bangladesh,226225,2965,125683,97577
Barbados,110,7,94,9
Belarus,67251,538,60492,6221
Belgium,66428,9822,17452,39154
Belize,48,2,26,20
Benin,1770,35,1036,699
Bhutan,99,0,86,13
Bolivia,71181,2647,21478,47056
Bosnia and Herzegovina,10498,294,4930,5274
Botswana,739,2,63,674
Brazil,2442375,87618,1846641,508116
Brunei,141,3,138,0
Bulgaria,10621,347,5585,4689
Burkina Faso,1100,53,926,121
Burma,350,6,292,52
Burundi,378,1,301,76
Cabo Verde,2328,22,1550,756
Cambodia,226,0,147,79
Cameroon,17110,391,14539,2180
Canada,116458,8944,0,107514
Central African Republic,4599,59,1546,2994
Chad,922,75,810,37
Chile,347923,9187,319954,18782
China,86783,4656,78869,3258
Colombia,257101,8777,131161,117163
Comoros,354,7,328,19
Congo (Brazzaville),3200,54,829,2317
Congo (Kinshasa),8844,208,5700,2936
Costa Rica,15841,115,3824,11902
Cote d'Ivoire,15655,96,10361,5198
Croatia,4881,139,3936,806
Cuba,2532,87,2351,94
Cyprus,1060,19,852,189
Czechia,15516,373,11428,3715
Denmark,13761,613,12605,543
Djibouti,5059,58,4977,24
Dominica,18,0,18,0
Dominican Republic,64156,1083,30204,32869
Ecuador,81161,5532,34896,40733
Egypt,92482,4652,34838,52992
El Salvador,15035,408,7778,6849
Equatorial Guinea,3071,51,842,2178
Eritrea,265,0,191,74
Estonia,2034,69,1923,42
Eswatini,2316,34,1025,1257
Ethiopia,14547,228,6386,7933
Fiji,27,0,18,9
Finland,7398,329,6920,149
France,220352,30212,81212,108928
Gabon,7189,49,4682,2458
Gambia,326,8,66,252
Georgia,1137,16,922,199
Germany,207112,9125,190314,7673
Ghana,33624,168,29801,3655
Greece,4227,202,1374,2651
Greenland,14,0,13,1
Grenada,23,0,23,0
Guatemala,45309,1761,32455,11093
Guinea,7055,45,6257,753
Guinea-Bissau,1954,26,803,1125
Guyana,389,20,181,188
Haiti,7340,158,4365,2817
Holy See,12,0,12,0
Honduras,39741,1166,5039,33536
Hungary,4448,596,3329,523
Iceland,1854,10,1823,21
India,1480073,33408,951166,495499
Indonesia,100303,4838,58173,37292
Iran,293606,15912,255144,22550
Iraq,112585,4458,77144,30983
Ireland,25892,1764,23364,764
Israel,63985,474,27133,36378
Italy,246286,35112,198593,12581
Jamaica,853,10,714,129
Japan,31142,998,21970,8174
Jordan,1176,11,1041,124
Kazakhstan,84648,585,54404,29659
Kenya,17975,285,7833,9857
Kosovo,7413,185,4027,3201
Kuwait,64379,438,55057,8884
Kyrgyzstan,33296,1301,21205,10790
Laos,20,0,19,1
Latvia,1219,31,1045,143
Lebanon,3882,51,1709,2122
Lesotho,505,12,128,365
Liberia,1167,72,646,449
Libya,2827,64,577,2186
Liechtenstein,86,1,81,4
Lithuania,2019,80,1620,319
Luxembourg,6321,112,4825,1384
Madagascar,9690,91,6260,3339
Malawi,3664,99,1645,1920
Malaysia,8904,124,8601,179
Maldives,3369,15,2547,807
Mali,2513,124,1913,476
Malta,701,9,665,27
Mauritania,6208,156,4653,1399
Mauritius,344,10,332,2
Mexico,395489,44022,303810,47657
Moldova,23154,748,16154,6252
Monaco,116,4,104,8
Mongolia,289,0,222,67
Montenegro,2893,45,809,2039
Morocco,20887,316,16553,4018
Mozambique,1701,11,0,1690
Namibia,1843,8,101,1734
Nepal,18752,48,13754,4950
Netherlands,53413,6160,189,47064
New Zealand,1557,22,1514,21
Nicaragua,3439,108,2492,839
Niger,1132,69,1027,36
Nigeria,41180,860,18203,22117
North Macedonia,10213,466,5564,4183
Norway,9132,255,8752,125
Oman,77058,393,57028,19637
Pakistan,274289,5842,241026,27421
Panama,61442,1322,35086,25034
Papua New Guinea,62,0,11,51
Paraguay,4548,43,2905,1600
Peru,389717,18418,272547,98752
Philippines,82040,1945,26446,53649
Poland,43402,1676,32856,8870
Portugal,50299,1719,35375,13205
Qatar,109597,165,106328,3104
Romania,45902,2206,25794,17902
Russia,816680,13334,602249,201097
Rwanda,1879,5,975,899
Saint Kitts and Nevis,17,0,15,2
Saint Lucia,24,0,22,2
